# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c201acad28
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
1285339f7015d8c0,main_62_gpu_red,20.32,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3197,514,3056,0,1,8,256,0,87545,11413,2056,0,1,2084,1,0,0,2850,2
1285339f701636e0,memcpyDtoHasync,2.272,5523,,,,,,,,,,,0,0,8,0
1285339f7019cc60,main_71_gpu,5199.33,6,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,35808,35808,105722,5566,506,0,169904,0,0,0,0,40294,1442268,95239,1134484,0,130984,4352,139264,0,145179933,3022616,6120852,0,5236226,8812424,4467134,0,0,12822476,5638103
1285339f70698b60,memcpyHtoD,1.696,5139,,,,,,,,,,,0,0,8,0
1285339f706b0420,main_58_gpu,5495.17,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194096,38464,131862,17546,566,0,188360,0,0,2895,0,503694,2669497,179179,1897088,0,151720,4728,151296,0,140784178,3127558,9648208,0,5244418,9261731,4609104,0,0,13644930,5796697
1285339f70beeb00,main_62_gpu_red,20.48,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86679,11425,2056,0,1,2088,1,0,0,2856,2
1285339f70bf49c0,memcpyDtoHasync,2.24,5524,,,,,,,,,,,0,0,8,0
1285339f7182bd00,main_71_gpu,5192.06,12,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,35040,35040,112619,5929,539,0,152440,0,0,0,0,34286,1499436,100294,1183420,0,136600,4488,143616,0,145032802,3012834,6144472,0,5236226,8855508,4503753,0,0,13195164,5710696
1285339f71d26520,memcpyHtoD,1.696,5118,,,,,,,,,,,0,0,8,0
1285339f71d3ff40,main_58_gpu,5497.25,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194016,38448,132561,17639,569,0,189346,0,0,2970,0,510495,2665102,178876,1894314,0,151567,4752,152064,0,140048278,3123318,9601880,0,5244418,9268719,4607366,0,0,13632567,5794451
1285339f7227ee60,main_62_gpu_red,20.352,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87408,11465,2056,0,1,2080,1,0,0,2850,2
1285339f72284ca0,memcpyDtoHasync,2.24,5526,,,,,,,,,,,0,0,8,0
